VTDID,PCTNAME,PCTCODE,MCDNAME,COUNTYNAME,COUNTYCODE,CONGDIST,MNSENDIST,MNLEGDIST,CTYCOMDIST,JUDDIST,SWCDIST,WARD,HOSPDIST,PARKDIST,TABMODEL,MAILBALLOT,REG7AM,EDR,SIGNATURES,AB_MB,FEDONLYAB,PRESONLYAB,TOTVOTING,USPRSR,USPRSDFL,USPRSLIB,USPRSWTP,USPRSG,USPRSSLP,USPRSSWP,USPRSJFA,USPRSIND,USPRSWI,USPRSTOTAL,USSENR,USSENDFL,USSENLIB,USSENIA,USSENWI,USSENTOTAL,USREPR,USREPDFL,USREPWI,USREPTOTAL,MNSENR,MNSENDFL,MNSENWI,MNSENTOTAL,MNLEGR,MNLEGDFL,MNLEGWI,MNLEGTOTAL,MNCA1YES,MNCA1NO,MNCA1EST,MNCA1TOTAL,RV_TOTAL,turnout,trump_share_2024,harris_share_2024,trump_share_2020,biden_share_2020
270010110,Logan Twp,110,Logan Twp,Aitkin,1,8,7,7A,5,9,3001,no data,no data,no data,ImageCast Evolution,NO,146,12,95,46,0,0,141,96,44,0,0,1,0,0,0,0,0,141,78,48,6,2,0,134,88,43,0,131,0,0,0,0,90,40,0,130,96,32,13,141,158,0.8924050632911392,0.6808510638297872,0.3120567375886525,0.625,0.3515625
270010120,McGregor,120,McGregor,Aitkin,1,8,7,7A,4,9,3001,no data,no data,no data,ImageCast Evolution,NO,206,34,120,36,0,0,156,104,47,2,2,0,0,0,0,0,0,155,75,64,7,1,0,147,90,58,0,148,0,0,0,0,87,55,0,142,107,37,12,156,240,0.6458333333333334,0.6709677419354839,0.3032258064516129,0.5673758865248227,0.375886525
270010125,McGregor Twp,125,McGregor Twp,Aitkin,1,8,7,7A,4,9,3001,no data,no data,no data,ImageCast Evolution,NO,67,3,47,10,0,0,57,41,15,0,0,0,0,0,0,0,0,56,42,15,0,0,0,57,45,12,0,57,0,0,0,0,43,14,0,57,29,22,6,57,70,0.8,0.7321428571428571,0.2678571428571428,0.7543859649122807,0.2456140350877192
270010130,Macville Twp,130,Macville Twp,Aitkin,1,8,7,7A,5,9,3001,no data,no data,no data,ImageCast Evolution,NO,114,9,78,21,0,0,99,62,33,0,2,1,0,0,0,0,0,98,59,36,0,0,2,97,63,31,2,96,0,0,0,0,62,31,2,95,76,20,3,99,123,0.7967479674796748,0.6326530612244898,0.336734694,0.6288659793814433,0.3298969072164948
270010135,Malmo Twp,135,Malmo Twp,Aitkin,1,8,10,10A,2,9,3001,no data,no data,no data,ImageCast Evolution,NO,273,9,170,67,0,0,237,159,74,0,4,0,0,0,0,0,0,237,132,91,6,3,0,232,157,71,0,228,0,0,0,0,153,69,2,224,152,58,27,237,282,0.8404255319148937,0.6708860759493671,0.3122362869198312,0.6484375,0.32421875
270010140,Morrison Twp,140,Morrison Twp,Aitkin,1,8,7,7A,5,9,3001,no data,no data,no data,ImageCast Central,YES,106,7,0,94,0,0,94,75,18,0,0,0,0,0,0,1,0,94,67,19,1,2,0,89,71,19,0,90,0,0,0,0,70,18,0,88,56,29,9,94,113,0.831858407,0.7978723404255319,0.1914893617021276,0.6631578947368421,0.3263157894736842
270010150,Palisade,150,Palisade,Aitkin,1,8,7,7A,5,9,3001,no data,no data,no data,ImageCast Central,YES,101,3,0,81,0,0,81,48,32,1,0,0,0,0,0,0,0,81,39,41,1,0,0,81,51,29,0,80,0,0,0,0,49,31,0,80,67,11,3,81,104,0.7788461538461539,0.5925925925925926,0.3950617283950617,0.625,0.3522727272727273
270010155,Pliny Twp,155,Pliny Twp,Aitkin,1,8,10,10A,3,9,3001,no data,no data,no data,ImageCast Central,YES,71,0,0,65,0,0,65,51,12,0,1,1,0,0,0,0,0,65,50,14,0,0,0,64,53,11,0,64,0,0,0,0,52,11,0,63,44,15,6,65,71,0.9154929577464788,0.7846153846153846,0.1846153846153846,0.7884615384615384,0.173076923
270010160,Rice River Twp,160,Rice River Twp,Aitkin,1,8,10,10A,3,9,3001,no data,no data,no data,ImageCast Central,YES,92,5,0,87,0,0,87,56,29,1,1,0,0,0,0,0,0,87,45,38,2,1,1,87,54,29,1,84,0,0,0,0,54,29,1,84,55,28,4,87,97,0.8969072164948454,0.6436781609195402,0.3333333333333333,0.6538461538461539,0.3205128205128205
270010165,Salo Twp,165,Salo Twp,Aitkin,1,8,10,10A,3,9,3001,no data,no data,no data,ImageCast Central,YES,50,2,0,38,0,0,38,20,18,0,0,0,0,0,0,0,0,38,19,18,0,0,0,37,19,18,0,37,0,0,0,0,18,19,0,37,29,5,4,38,52,0.7307692307692307,0.5263157894736842,0.4736842105263157,0.6140350877192983,0.3859649122807017
270010180,Spalding Twp,180,Spalding Twp,Aitkin,1,8,10,10A,3,9,3001,no data,no data,no data,ImageCast Central,YES,136,10,0,109,0,0,109,52,56,0,0,1,0,0,0,0,0,109,45,53,4,5,0,107,53,53,0,106,0,0,0,0,52,53,0,105,73,30,6,109,146,0.7465753424657534,0.4770642201834862,0.5137614678899083,0.3873873873873873,0.5765765765765766
270010195,Turner Twp,195,Turner Twp,Aitkin,1,8,7,7A,4,9,3001,no data,no data,no data,ImageCast Central,YES,123,1,0,105,0,0,105,53,50,0,0,0,0,0,0,0,0,103,45,57,0,0,0,102,58,40,0,98,0,0,0,0,55,42,0,97,75,19,11,105,124,0.8306451612903226,0.5145631067961165,0.4854368932038835,0.6071428571428571,0.375
270010205,Wagner Twp,205,Wagner Twp,Aitkin,1,8,10,10A,3,9,3001,no data,no data,no data,ImageCast Evolution,NO,219,13,180,28,0,0,208,139,63,1,2,1,0,0,0,1,1,208,122,77,5,0,0,204,136,66,0,202,0,0,0,0,134,61,1,196,148,46,14,208,232,0.896551724,0.6682692307692307,0.3028846153846153,0.6338028169014085,0.3474178403755869
270010210,Waukenabo Twp,210,Waukenabo Twp,Aitkin,1,8,7,7A,5,9,3001,no data,no data,no data,ImageCast Central,YES,264,9,0,228,1,0,229,152,65,2,6,1,0,0,0,1,1,228,144,74,2,3,0,223,153,65,0,218,0,0,0,0,153,58,0,211,156,56,17,229,273,0.8351648351648352,0.6666666666666666,0.2850877192982456,0.6568627450980392,0.3284313725490196
270010215,Wealthwood Twp,215,Wealthwood Twp,Aitkin,1,8,10,10A,2,9,3001,no data,no data,no data,ImageCast Central,YES,227,9,0,207,2,0,209,127,77,0,3,1,0,0,0,0,1,209,109,92,2,5,0,208,126,76,0,202,0,0,0,0,126,73,0,199,152,45,12,209,236,0.88559322,0.6076555023923444,0.3684210526315789,0.6132075471698113,0.3679245283018867
270010225,Williams Twp,225,Williams Twp,Aitkin,1,8,10,10A,3,9,3001,no data,no data,no data,ImageCast Evolution,NO,100,9,73,18,0,0,91,69,20,1,0,0,0,0,0,0,1,91,66,20,3,0,0,89,69,19,1,89,0,0,0,0,71,17,0,88,52,30,9,91,109,0.8348623853211009,0.7582417582417582,0.2197802197802197,0.7023809523809523,0.2976190476190476
270010230,Workman Twp,230,Workman Twp,Aitkin,1,8,7,7A,4,9,3001,no data,no data,no data,ImageCast Central,YES,180,7,0,169,0,0,169,124,41,0,2,1,0,0,0,0,0,168,108,51,0,5,0,164,121,41,2,164,0,0,0,0,117,40,1,158,112,41,16,169,187,0.8983957219251337,0.7380952380952381,0.244047619,0.7191780821917808,0.2534246575342466
270010250,Northwest Aitkin Unorg,250,Northwest Aitkin Unorg,Aitkin,1,8,7,7A,5,9,3001,no data,no data,no data,ImageCast Central,YES,244,8,0,221,0,0,221,147,70,1,1,1,0,0,0,0,0,220,138,77,1,4,0,220,147,71,0,218,0,0,0,0,147,68,0,215,133,67,21,221,252,0.873015873,0.6681818181818182,0.3181818181818182,,
270050025,Callaway,25,Callaway,Becker,3,8,2,2B,5,7,1005,no data,no data,no data,Digital Scan 450,YES,105,9,0,84,0,0,84,52,30,0,1,0,0,0,0,0,0,83,45,36,1,1,0,83,47,33,0,80,0,0,0,0,49,30,0,79,51,23,10,84,114,0.7280701754385965,0.6265060240963856,0.3614457831325301,0.5945945945945946,0.4054054054054054
270050030,Callaway Twp,30,Callaway Twp,Becker,3,8,2,2B,5,7,1005,no data,no data,no data,Digital Scan 450,YES,185,9,0,164,0,0,164,106,56,0,1,0,0,0,0,0,0,163,98,58,2,1,0,159,103,54,0,157,0,0,0,0,103,53,0,156,87,64,13,164,194,0.8402061855670103,0.6503067484662577,0.3435582822085889,0.6339869281045751,0.3594771241830065
270050082,Eagle View Twp,82,Eagle View Twp,Becker,3,8,2,2B,1,7,1005,no data,no data,no data,Digital Scan 450,YES,89,3,0,71,0,0,71,42,27,1,1,0,0,0,0,0,0,71,33,36,2,0,0,71,42,27,0,69,0,0,0,0,41,28,0,69,41,24,6,71,92,0.7717391304347826,0.5915492957746479,0.38028169,0.5333333333333333,0.4444444444444444
270050095,Forest Twp,95,Forest Twp,Becker,3,8,2,2B,1,7,1005,no data,no data,no data,Digital Scan 450,YES,84,1,0,75,1,0,76,29,43,0,2,1,0,0,0,0,0,75,32,41,1,0,0,74,34,39,0,73,0,0,0,0,34,38,0,72,54,20,2,76,85,0.8823529411764706,0.3866666666666666,0.5733333333333334,0.525,0.45
270050145,Maple Grove Twp,145,Maple Grove Twp,Becker,3,8,2,2B,5,7,1005,no data,no data,no data,Digital Scan 200,NO,275,45,206,48,0,0,254,128,124,0,0,1,0,0,0,0,0,253,98,145,0,6,0,249,117,126,0,243,0,0,0,0,113,129,0,242,186,58,10,254,320,0.790625,0.5059288537549407,0.4901185770750988,0.452914798,0.5381165919282511
270050150,Ogema,150,Ogema,Becker,3,8,2,2B,5,7,1005,no data,no data,no data,Digital Scan 450,YES,88,7,0,54,0,0,54,26,27,0,0,0,0,0,0,0,0,53,25,27,0,1,0,53,28,26,0,54,0,0,0,0,28,26,0,54,36,17,1,54,95,0.5578947368421052,0.490566038,0.5094339622641509,0.5,0.5
270050160,Pine Point Twp,160,Pine Point Twp,Becker,3,8,2,2B,1,7,1005,no data,no data,no data,Digital Scan 200,NO,135,30,105,7,0,0,112,43,65,0,1,0,0,0,1,1,0,111,33,74,0,2,0,109,38,63,0,101,0,0,0,0,39,60,0,99,76,21,15,112,165,0.6727272727272727,0.3873873873873873,0.5855855855855856,0.4141414141414141,0.5555555555555556
270050165,Riceville Twp,165,Riceville Twp,Becker,3,8,2,2B,5,7,1005,no data,no data,no data,Digital Scan 450,YES,62,4,0,55,0,0,55,44,11,0,0,0,0,0,0,0,0,55,37,14,1,0,1,53,40,14,0,54,0,0,0,0,41,12,0,53,22,30,3,55,66,0.8333333333333334,0.8,0.2,0.7592592592592593,0.2222222222222222
270050175,Round Lake Twp,175,Round Lake Twp,Becker,3,8,2,2B,1,7,1005,no data,no data,no data,Digital Scan 450,YES,130,8,0,98,3,0,101,51,46,0,2,0,0,0,0,0,0,99,50,47,0,2,0,99,55,42,0,97,0,0,0,0,52,41,0,93,71,21,9,101,138,0.717391304,0.5151515151515151,0.4646464646464646,0.4074074074074074,0.5370370370370371
270050185,Savannah Twp,185,Savannah Twp,Becker,3,8,5,5A,1,7,1005,no data,no data,no data,Digital Scan 200,NO,138,11,104,23,2,0,129,85,40,1,0,1,0,0,0,0,0,127,80,44,2,0,0,126,84,39,0,123,0,0,0,0,85,37,0,122,86,33,10,129,149,0.8523489932885906,0.6692913385826772,0.3149606299212598,0.6111111111111112,0.3611111111111111
270050200,Spring Creek Twp,200,Spring Creek Twp,Becker,3,8,2,2B,5,7,1005,no data,no data,no data,Digital Scan 450,YES,63,3,0,55,0,0,55,44,9,0,2,0,0,0,0,0,0,55,34,18,0,0,0,52,38,14,0,52,0,0,0,0,39,12,0,51,23,29,3,55,66,0.8333333333333334,0.8,0.1636363636363636,0.7843137254901961,0.2156862745098039
270050220,Two Inlets Twp,220,Two Inlets Twp,Becker,3,8,5,5A,1,7,1005,no data,no data,no data,Digital Scan 200,NO,190,3,121,36,0,0,157,95,58,0,1,0,0,0,0,0,1,155,87,61,1,4,0,153,101,50,0,151,0,0,0,0,101,52,0,153,101,47,9,157,193,0.8031088082901554,0.6129032258064516,0.3741935483870968,0.6538461538461539,0.3205128205128205
270050230,White Earth Twp,230,White Earth Twp,Becker,3,8,2,2B,5,7,1005,no data,no data,no data,Digital Scan 450,YES,362,36,0,224,0,0,224,110,110,0,2,0,0,0,0,0,0,222,99,118,0,3,0,220,108,108,0,216,0,0,0,0,101,114,0,215,147,61,16,224,398,0.5577889447236181,0.4954954954954955,0.4954954954954955,0.4784482758620689,0.5172413793103449
270070005,Alaska Twp,5,Alaska Twp,Beltrami,4,8,2,2A,4,9,8007,no data,no data,no data,Digital Scan 200,NO,139,10,104,25,0,0,129,56,70,1,2,0,0,0,0,0,0,129,46,80,1,0,0,127,58,69,0,127,0,0,0,0,60,68,0,128,92,31,6,129,149,0.8657718120805369,0.4341085271317829,0.5426356589147286,0.4033613445378151,0.5882352941176471
270070045,Benville Twp,45,Benville Twp,Beltrami,4,8,2,2A,4,9,8007,no data,no data,no data,Digital Scan 200,NO,70,3,49,16,2,0,67,52,13,0,0,0,0,0,0,0,0,65,47,18,1,0,0,66,49,17,0,66,0,0,0,0,50,12,0,62,25,37,5,67,73,0.8904109589041096,0.8,0.2,0.746031746,0.2539682539682539
270070050,Birch Twp,50,Birch Twp,Beltrami,4,8,2,2B,1,9,8007,no data,no data,no data,"Digital Scan 200, Digital Scan 450",YES,79,3,0,79,0,0,79,50,26,1,1,0,0,0,0,0,0,78,48,29,0,2,0,79,54,23,0,77,0,0,0,0,55,23,0,78,53,22,4,79,82,0.951219512,0.6410256410256411,0.3333333333333333,0.6176470588235294,0.3529411764705882
270070060,Buzzle Twp,60,Buzzle Twp,Beltrami,4,8,2,2A,3,9,8007,no data,no data,no data,Digital Scan 200,NO,210,33,160,48,0,0,208,143,61,0,0,1,0,0,0,0,0,205,120,74,2,4,0,200,137,62,0,199,0,0,0,0,133,65,0,198,116,81,11,208,243,0.8436213991769548,0.697560976,0.2975609756097561,0.6871508379888268,0.3016759776536313
270070065,Cormant Twp,65,Cormant Twp,Beltrami,4,8,2,2B,4,9,8007,no data,no data,no data,"Digital Scan 200, Digital Scan 450",YES,129,4,0,112,0,0,112,90,22,0,0,0,0,0,0,0,0,112,83,23,3,1,0,110,91,18,0,109,0,0,0,0,90,19,0,109,41,60,11,112,133,0.8421052631578947,0.8035714285714286,0.1964285714285714,0.7692307692307693,0.2307692307692307
270070070,Durand Twp,70,Durand Twp,Beltrami,4,8,2,2A,5,9,8007,no data,no data,no data,"Digital Scan 200, Digital Scan 450",YES,156,7,0,140,0,0,140,97,40,2,1,0,0,0,0,0,0,140,84,45,5,2,0,136,99,36,0,135,0,0,0,0,90,44,1,135,81,48,11,140,163,0.8588957055214724,0.6928571428571428,0.2857142857142857,0.7086614173228346,0.2834645669291338
270070095,Hagali Twp,95,Hagali Twp,Beltrami,4,8,2,2B,1,9,8007,no data,no data,no data,Digital Scan 200,NO,257,18,182,56,0,0,238,167,64,1,2,0,0,0,0,1,0,235,145,82,5,4,0,236,166,68,0,234,0,0,0,0,176,57,0,233,147,78,13,238,275,0.8545454545454545,0.7106382978723405,0.2723404255319149,0.7432432432432432,0.2207207207207207
270070110,Hornet Twp,110,Hornet Twp,Beltrami,4,8,2,2B,4,9,8007,no data,no data,no data,Digital Scan 200,NO,123,8,89,21,0,0,110,92,15,0,1,1,0,0,0,0,0,109,81,23,1,3,0,108,97,10,0,107,0,0,0,0,90,12,0,102,54,46,10,110,131,0.8320610687022901,0.8440366972477065,0.1376146788990825,0.7933884297520661,0.1818181818181818
270070115,Jones Twp,115,Jones Twp,Beltrami,4,8,2,2A,3,9,8007,no data,no data,no data,"Digital Scan 200, Digital Scan 450",YES,175,8,0,143,0,0,143,110,32,0,1,0,0,0,0,0,0,143,101,33,6,1,0,141,113,29,0,142,0,0,0,0,110,32,0,142,74,62,7,143,183,0.7814207650273224,0.7692307692307693,0.2237762237762237,0.7902097902097902,0.1818181818181818
270070120,Kelliher,120,Kelliher,Beltrami,4,8,2,2B,4,9,8007,no data,no data,no data,Digital Scan 200,NO,145,17,118,19,0,0,137,93,42,0,0,0,0,0,0,0,0,135,81,48,1,2,0,132,88,41,0,129,0,0,0,0,93,36,0,129,55,70,12,137,162,0.8333333333333334,0.6888888888888889,0.3111111111111111,0.6583333333333333,0.3333333333333333
270070125,Kelliher Twp,125,Kelliher Twp,Beltrami,4,8,2,2B,4,9,8007,no data,no data,no data,"Digital Scan 200, Digital Scan 450",YES,92,1,0,82,0,0,82,58,22,0,1,0,0,0,0,0,0,81,48,26,6,0,0,80,60,18,0,78,0,0,0,0,62,16,0,78,21,57,4,82,93,0.8709677419354839,0.7160493827160493,0.2716049382716049,0.6785714285714286,0.3214285714285714
270070135,Langor Twp,135,Langor Twp,Beltrami,4,8,2,2B,4,9,8007,no data,no data,no data,"Digital Scan 200, Digital Scan 450",YES,131,4,0,112,0,0,112,92,19,0,1,0,0,0,0,0,0,112,85,23,1,3,0,112,91,20,0,111,0,0,0,0,92,19,0,111,50,62,0,112,135,0.8296296296296296,0.8214285714285714,0.1696428571428571,0.8189655172413793,0.1637931034482758
270070150,Maple Ridge Twp,150,Maple Ridge Twp,Beltrami,4,8,2,2A,3,9,8007,no data,no data,no data,"Digital Scan 200, Digital Scan 450",YES,95,3,0,75,0,0,75,50,20,1,0,1,0,0,1,0,0,73,44,26,1,1,0,72,50,22,0,72,0,0,0,0,47,26,0,73,51,20,4,75,98,0.7448979591836735,0.684931507,0.273972603,0.5522388059701493,0.4029850746268656
270070160,Moose Lake Twp,160,Moose Lake Twp,Beltrami,4,8,2,2B,1,9,8007,no data,no data,no data,"Digital Scan 200, Digital Scan 450",YES,171,5,0,154,0,0,154,95,57,0,2,0,0,0,0,0,0,154,89,55,1,3,1,149,100,52,0,152,0,0,0,0,108,44,0,152,105,40,9,154,176,0.875,0.6168831168831169,0.3701298701298701,0.5923566878980892,0.3821656050955414
270070165,Nebish Twp,165,Nebish Twp,Beltrami,4,8,2,2A,5,9,8007,no data,no data,no data,"Digital Scan 200, Digital Scan 450",YES,185,1,0,171,0,0,171,101,64,1,0,0,0,1,0,0,3,170,89,72,3,3,0,167,106,57,0,163,0,0,0,0,105,62,0,167,98,66,7,171,186,0.913978495,0.5941176470588235,0.3764705882352941,0.6242424242424243,0.3636363636363636
270070190,Quiring Twp,190,Quiring Twp,Beltrami,4,8,2,2A,4,9,8007,no data,no data,no data,"Digital Scan 200, Digital Scan 450",YES,54,3,0,43,0,0,43,33,10,0,0,0,0,0,0,0,0,43,31,9,1,2,0,43,35,8,0,43,0,0,0,0,33,10,0,43,18,21,4,43,57,0.7543859649122807,0.7674418604651163,0.2325581395348837,0.75,0.2222222222222222
270070205,Roosevelt Twp,205,Roosevelt Twp,Beltrami,4,8,2,2A,3,9,8007,no data,no data,no data,Digital Scan 200,NO,175,13,114,43,0,0,157,102,52,0,0,0,0,0,0,0,1,155,92,63,1,1,0,157,100,53,0,153,0,0,0,0,100,54,0,154,93,56,8,157,188,0.824468085,0.6580645161290323,0.3354838709677419,0.54,0.4533333333333333
270070210,Shooks Twp,210,Shooks Twp,Beltrami,4,8,2,2B,4,9,8007,no data,no data,no data,"Digital Scan 200, Digital Scan 450",YES,129,6,0,119,0,0,119,105,12,0,1,1,0,0,0,0,0,119,97,16,2,0,0,115,108,9,0,117,0,0,0,0,108,6,0,114,38,73,8,119,135,0.8814814814814815,0.8823529411764706,0.1008403361344537,0.9423076923076924,0.048076923
270070235,Sugar Bush Twp,235,Sugar Bush Twp,Beltrami,4,8,2,2B,1,9,8007,no data,no data,no data,"Digital Scan 200, Digital Scan 450",YES,119,9,0,107,0,0,107,56,46,1,3,0,1,0,0,0,0,107,51,53,2,1,0,107,58,49,0,107,0,0,0,0,60,47,0,107,76,30,1,107,128,0.8359375,0.5233644859813084,0.4299065420560747,0.5614035087719298,0.4298245614035088
270070240,Summit Twp,240,Summit Twp,Beltrami,4,8,2,2B,4,9,8007,no data,no data,no data,Digital Scan 200,NO,188,15,153,23,0,0,176,151,23,0,0,0,0,0,1,0,0,175,140,24,4,2,0,170,148,23,0,171,0,0,0,0,153,19,0,172,55,107,14,176,203,0.8620689655172413,0.8628571428571429,0.1314285714285714,0.8563218390804598,0.1379310344827586
270070245,Taylor Twp,245,Taylor Twp,Beltrami,4,8,2,2B,1,9,8007,no data,no data,no data,"Digital Scan 200, Digital Scan 450",YES,83,2,0,73,0,0,73,52,20,0,0,0,0,0,1,0,0,73,47,25,0,0,0,72,54,17,0,71,0,0,0,0,57,14,0,71,31,33,9,73,85,0.8588235294117647,0.7123287671232876,0.273972603,0.7368421052631579,0.2631578947368421
270070255,Tenstrike,255,Tenstrike,Beltrami,4,8,2,2B,1,9,8007,no data,no data,no data,"Digital Scan 200, Digital Scan 450",YES,130,5,0,119,0,0,119,89,28,1,0,0,0,0,0,0,0,118,76,39,0,2,0,117,86,29,0,115,0,0,0,0,90,25,0,115,64,47,8,119,135,0.8740740740740741,0.7542372881355932,0.2372881355932203,0.7,0.29
270070265,Turtle River,265,Turtle River,Beltrami,4,8,2,2B,1,9,8007,no data,no data,no data,"Digital Scan 200, Digital Scan 450",YES,70,3,0,66,0,0,66,25,37,0,4,0,0,0,0,0,0,66,23,37,2,1,0,63,27,36,0,63,0,0,0,0,28,36,0,64,44,20,2,66,73,0.9041095890410958,0.3787878787878788,0.5606060606060606,0.3166666666666666,0.6333333333333333
270070285,Unorg Dist 3,285,Brook Lake Unorg,Beltrami,4,8,2,2B,1,9,8007,no data,no data,no data,"Digital Scan 200, Digital Scan 450",YES,148,11,0,118,0,0,118,59,58,0,0,0,0,0,1,0,0,118,56,58,1,2,0,117,60,55,0,115,0,0,0,0,67,51,0,118,89,22,7,118,159,0.7421383647798742,0.5,0.4915254237288136,0.5,0.4736842105263157
270070290,Waskish Twp,290,Waskish Twp,Beltrami,4,8,2,2A,4,9,8007,no data,no data,no data,"Digital Scan 200, Digital Scan 450",YES,91,2,0,84,0,0,84,53,27,0,1,0,0,0,0,0,1,82,48,33,1,0,0,82,64,17,0,81,0,0,0,0,68,13,0,81,30,53,1,84,93,0.8817204301075269,0.6463414634146342,0.3292682926829268,0.5595238095238095,0.4047619047619047
270070295,Wilton,295,Wilton,Beltrami,4,8,2,2A,3,9,8007,no data,no data,no data,"Digital Scan 200, Digital Scan 450",YES,137,17,0,114,0,0,114,72,37,1,0,1,0,0,0,0,1,112,68,41,0,4,0,113,73,37,0,110,0,0,0,0,73,35,0,108,77,23,14,114,154,0.7272727272727273,0.6428571428571429,0.3303571428571428,0.5573770491803278,0.4180327868852459
270070300,Woodrow Twp,300,Woodrow Twp,Beltrami,4,8,2,2B,4,9,8007,no data,no data,no data,"Digital Scan 200, Digital Scan 450",YES,51,2,0,44,0,0,44,33,9,0,0,0,0,0,0,0,0,42,31,11,0,0,0,42,33,10,0,43,0,0,0,0,34,10,0,44,10,31,3,44,53,0.7924528301886793,0.7857142857142857,0.2142857142857142,0.6862745098039216,0.2941176470588235
